id,features[0],features[1],features[2],features[3],features[4],features[5],features[6],features[7],features[8],features[9]
230,0.09726832,-0.8093011,-0.79256135,-0.65744907,-0.72303516,-0.7626463,0.4112521,-0.51176,-0.33254954,0.3961244
240,0.22812638,-0.36176008,-0.54151905,-0.5455462,-0.49726442,-0.045581788,0.2622621,-1.2624464,-0.62399375,0.06181416
250,-0.2414827,-0.44252002,-0.8864347,-0.72889125,0.009298839,-0.54448795,-0.3900896,-0.45626244,-0.4761321,0.5277397
260,-0.2192582,-0.5368011,-1.6616675,-1.1780695,-0.76112735,-0.30915937,0.34927073,-0.33740243,-0.5973029,0.122156575
270,-0.119705155,-0.5564054,-0.98985,-0.2759485,-0.16920787,-0.6581318,0.29742342,-0.3366822,-0.43241677,1.0306692
280,-0.19275019,-0.5317791,-0.9134879,-0.6425641,-0.66668296,-0.60479873,0.544296,-0.7419363,-0.59575164,0.4319911
290,0.062879875,-0.39167637,-1.0138437,-0.72464216,-1.335762,-0.7386584,0.5886739,-0.27319178,-0.14825456,0.14157945
300,-0.09074608,-0.54982525,-1.1043646,-0.8577433,-0.9083589,-0.7564217,0.3525885,-0.32279125,-0.18398054,0.30502993
310,0.34253326,-0.2846242,-0.9306734,-0.5767285,-0.16970478,-0.71082157,-0.25990975,-0.9537259,0.39715928,0.29816264
320,-0.23409058,-0.69545585,-0.7100655,-1.2681915,-0.57943803,-0.69067687,0.5389654,-0.0021595699,-0.008226471,-0.0073831826
330,0.38077518,-0.23418634,-0.8935591,-0.4206267,-0.454774,-0.70068693,-0.27475312,-0.77966714,-0.09513704,0.42719942
340,-0.39076138,-0.25226524,-0.99913925,-0.820662,-0.39062887,-0.63513607,0.5733641,-0.3994846,-0.6842874,0.23751569
350,0.04805851,-0.7273569,-0.8680186,-0.5971481,-0.581436,-0.42061624,0.3426043,-0.5671549,-0.53392106,0.7684832
360,-0.039290313,-0.882153,-0.7754196,-0.26697573,-0.19628678,-0.17391832,-0.06861768,-0.59510857,-0.13743582,0.9225642
370,0.2422756,-0.3441307,-1.3657997,-0.16675292,-0.5391776,-0.5094381,-0.15310487,-0.6392017,0.025557514,0.30647644
380,-0.06332767,-0.6780057,-1.2636495,-0.6524385,-0.68312687,-0.023379512,0.17634942,-0.6873021,-0.38383278,0.51363385
390,0.56824416,-0.38370642,-0.9695692,-1.0364981,-0.56916255,-1.0761802,0.2315823,-0.52610373,0.24958758,0.13116713
410,0.24181461,-0.72289085,-0.8881199,-0.8606724,-0.53104895,-0.34026602,-0.04419491,-0.5724058,0.2712197,0.103995755
420,-0.16159256,-0.55222857,-0.8655166,-0.2753036,-0.058737192,-0.28682542,-0.18666373,-0.9035556,-0.36268678,0.50481623
430,0.036061075,-0.7807921,-0.36397487,-0.42672896,-0.046071738,-0.3268837,0.3155329,-0.8713532,-0.34414572,0.7962636
440,-0.2127634,-0.71340704,-1.2753501,-0.74995893,-0.74636763,-0.29011983,0.4169179,-0.43382218,-0.19855934,0.61764675
450,-0.07089984,-0.43586442,-0.9649041,-0.5745541,-0.38750574,-0.39455113,0.2762222,-0.8549225,-0.6236863,0.64632094
460,0.109104045,-0.829246,-0.6779714,-0.047962934,0.20585303,-0.48058048,0.09587776,-0.5267507,-0.4177492,0.8471748
470,0.23266678,-0.38308725,-0.5490854,-0.30935863,-0.029228354,-0.37909338,-0.35313457,-0.55285597,-0.17423454,0.6366089
480,-0.002046114,-0.5834926,-1.2061049,-1.0206965,-0.7238264,0.11482125,0.11282412,-0.5519683,-0.69474673,0.48916584
490,-0.07580335,-0.6168858,-0.8420645,-0.55168056,-0.7449254,-0.42269742,0.4611999,-0.59945464,-0.60355455,0.4594155
500,-0.067601584,-0.55946034,-1.0828294,-0.5994434,-0.49326062,-0.29129693,0.43844172,-0.5959338,-0.39609224,0.8816625
510,0.13041286,-0.67536753,-0.57378024,-0.50988394,-0.004206465,-0.6638973,0.22375421,-0.85851234,-0.12665313,0.53289044
520,-0.33793357,-0.3973995,-1.2227025,-0.48265705,0.043447677,-0.46180233,-0.06507091,-1.0201594,-0.04189242,0.23242979
530,0.09671705,-0.60854614,-0.92723036,-1.0276043,-0.73600394,-0.43726605,0.3699577,-0.113192804,-0.057721104,0.5957103
540,0.038410425,-0.44892523,-0.17878284,-0.3625531,-0.414452,-0.42762902,0.22344208,-0.9273982,-0.5795054,0.46750274
550,0.09605003,-0.09373273,-0.61563975,-0.68121785,-0.7141029,-0.4501275,0.5671817,-1.0422833,-0.1656789,0.4411112
560,-0.116225846,-0.4001397,-0.77848184,-0.69756484,-1.1339158,-0.67905444,0.23532149,-0.18091859,-0.41955724,0.37270012
570,-0.14010641,-0.66426533,-0.60653514,-0.71109873,-0.51782644,-1.2330997,1.2470218,-0.12196096,-0.22409932,0.5299225
580,-0.25858754,-0.5563807,-1.117065,-0.65532255,-0.54203916,-0.43896228,0.29201818,-0.6390741,0.19678894,0.29459816
590,-0.1632534,-0.45159832,-1.122671,-0.8323701,-0.74403006,-0.45740896,0.55701584,-0.4012351,-0.81322193,0.70511854
600,-0.13274586,-0.6687139,-0.67212236,-1.1857507,-0.4389213,0.0027815572,-0.25267673,-1.0365849,-0.27847227,-0.24693017
610,-0.11328457,-0.57637984,-1.0497677,-0.83194554,-0.467459,-0.30976623,0.32867223,-0.9047381,-0.52436596,-0.14844057
630,-0.15377645,-1.2698561,-0.5080789,-0.16769242,-0.2926794,-0.7757088,0.41203457,-0.39506176,-0.5106188,0.7247457
640,0.3112154,-0.71067035,-0.39314777,-0.6375192,-0.4150362,-0.45830703,0.3071934,-0.86844796,-0.5431321,-0.049839415
650,-0.42147195,-0.553131,-0.89994717,-0.5996703,-0.4753625,-0.82016456,0.63786376,-0.6774759,-0.24087067,0.60382116
660,-0.2727795,-0.01034823,-0.7260022,-0.0689993,-0.20334406,0.12556124,-0.1999836,-0.3023533,-0.20964774,0.34436885
670,-0.38704148,-0.82667494,-1.2224609,-1.2533062,-0.9673729,-1.0830187,-0.0560938,0.6090334,-0.004924741,0.20252414
680,0.23311424,-0.6961649,-0.81219023,-0.78929055,-0.7742271,-1.2180798,-0.04252198,-0.20647599,-0.0032327643,-0.5587524
690,0.1696161,-0.8028998,-0.44079995,-0.047178004,-1.018889,-0.29699513,0.04983002,-0.44608226,-0.6289128,-0.37023568
700,0.08503681,-0.3736482,-1.0626975,-0.7469721,-0.7453799,-0.5431277,0.28783014,-0.7369005,0.22007011,0.37657112
710,0.2987476,-0.7411541,-0.7416086,0.018366799,-0.12648049,-0.7101682,-0.0063826735,-0.7866075,-0.05016108,0.51345277
720,-0.3566115,-0.6960856,-1.4699118,-1.1695755,-0.7841545,-0.7924328,0.41946197,-0.20460644,-0.025703432,0.12537898
730,0.0642108,-0.14470533,-0.16926254,-0.16009235,-0.18979691,-0.19063921,-0.18902464,0.0052154134,-0.021826515,-0.035234958
750,-0.0893382,-0.8286181,-1.2880279,-0.9885746,-1.1803979,-0.8334059,0.36896425,-0.1650443,-0.31104255,-0.1607429
760,-0.3476081,-0.3730377,-1.2214082,-0.4297329,-0.75202155,-1.0521992,0.22699903,-0.1475773,-0.70078534,-0.107679635
780,-0.32956985,-0.5456033,-1.205153,-0.706541,-0.5130983,0.17885432,0.022638485,-0.86591685,-0.5681736,0.65528196
790,-0.34957585,-0.42085248,-0.806222,-0.4522417,-0.119280055,-0.32311857,-0.020352514,-0.6488935,-0.4085374,0.40968135
800,-0.21784215,-0.88601446,-1.0908496,-0.7758634,-1.1900393,-0.8073159,0.3989425,-0.13386951,-0.11324973,0.1332
810,0.13968417,-0.47071937,-0.6204266,0.02692951,-0.0079354625,-0.2788061,-0.0060228147,-0.35830352,-0.22169334,0.2587021
820,-0.6204494,-0.866843,-0.2440833,-0.53337544,-1.233944,-0.98361576,0.78330433,0.5596234,0.25771284,0.056145735
830,-0.14983048,-0.7915439,-0.7765967,-0.7041873,-0.12308974,-0.34391296,0.2897985,-0.6009024,-0.12666237,0.7869121
840,-0.17335857,-0.6504396,-0.6359704,-0.51869863,-0.061392732,-0.3837753,0.024048887,-0.8483378,0.08739139,0.80107045
850,0.17363329,-0.3652534,-0.7501037,-0.94034815,-0.9421836,-1.0989026,0.6181347,-0.63681173,0.19186266,-0.25743726
860,0.3865714,-0.8058839,-1.2213018,-0.5542903,-0.7293184,-0.47716293,0.5446348,-0.35667387,-0.94911265,-0.0023846102
870,0.05610553,-0.47866154,-1.0953594,0.13168442,0.11646832,-0.63463837,-0.011563578,-0.44136396,-0.22899884,0.24576959
880,0.042291496,-0.7102081,-0.3672055,-0.48506334,-0.21146372,-0.52902293,-0.12398249,-0.8135608,-0.50831896,-0.19278863
900,0.0522943,-0.82804495,-1.1839669,-0.90978277,-0.6281456,-0.7135792,0.6101555,-0.044222146,0.014469065,0.3898501
910,0.14822373,-0.8367956,-1.2644888,-1.045173,-0.8873129,-0.75335675,0.5719077,-0.07264938,-0.22986932,0.28317824
920,0.20080827,-0.9153905,-0.98501027,-1.0414367,-0.6777851,-0.4594684,0.649866,-0.11303302,-0.61450344,0.71884924
930,0.06629003,-0.9669274,-1.3057779,-0.95758796,-0.9067189,-0.742342,0.44422027,-0.0015348048,-0.34470394,0.14798632
940,0.11994476,-0.92820036,-1.3724065,-0.8875348,-0.74176455,-0.50867975,0.31412503,0.011350778,-0.26986516,0.43027908
950,0.06801041,-1.0400107,-1.3338788,-1.0163662,-0.7897975,-0.60441566,0.322242,-0.1478658,-0.23364064,0.16428009
960,0.48585552,-0.6409235,-0.22579256,-1.6387144,-0.98263335,-0.35026914,0.8428896,-0.53855866,-0.44330767,-0.31861603
970,0.15862852,-0.97526073,-0.92593056,-1.0423152,-0.7639611,-0.45674777,0.4413695,0.23387033,-0.11951098,0.061627094
980,-0.7808395,-0.99078786,-1.3509777,-0.42185757,-0.65130025,-0.150717,-0.58275825,0.42976353,-0.7713142,0.7840251
990,0.007274786,-0.62904036,-0.69161844,-0.17165191,-0.34230345,-0.37112334,-0.19340482,-0.8429607,-0.5165628,0.41580883
1000,0.2176282,-0.6778663,-0.73908406,-1.0173573,-0.5609045,-0.88967013,0.2437238,0.108673334,0.0856845,0.36214975
1010,0.31588343,-0.6832387,-1.2339567,-0.7035334,-0.17180271,-0.39798218,0.28372842,-0.31419736,-0.3819113,0.5035599
1020,-0.061103642,-0.7239949,-1.1585339,-0.6305964,-0.34363025,-0.30527556,0.1558105,-0.5423546,-0.06336638,0.7052662
1030,0.16105488,-0.43698627,-1.0706835,-0.8469678,-0.024343044,-0.5369878,0.42350307,-0.47515807,-0.1226662,0.43586516
1040,-0.21898559,-0.9848755,-0.6415168,-0.6390765,-0.9118018,-0.6397503,0.46564788,0.10678202,0.12500149,0.1277658
1050,-0.117638886,-0.75692093,-1.2476236,-0.8799447,-0.5556183,-0.9062962,0.14841062,-0.46409005,-0.2712218,-0.19782832
1060,0.012840327,-0.09643552,-1.3101665,-0.63746583,-1.1231649,-0.66594785,0.38949892,-0.5163522,-0.5350261,0.18082653
1070,0.01094191,-0.47518483,-0.74734867,-0.6852021,-0.69940305,-0.56121916,0.28840888,-0.062157422,-0.12069732,0.13888632
1080,-0.030899536,-0.5293437,-1.3050708,-0.8928208,-0.8883161,-0.82234406,0.28236386,-0.50467736,-0.19062218,-0.21234348
1090,-0.021477666,-0.3860638,-1.209404,-0.91198105,-0.9783059,-0.62039846,0.40048203,-0.45994693,-0.72636163,0.16389643
1100,-0.07598698,-0.30288047,-0.95861936,-0.37660018,-0.2072051,-0.19390139,0.05186894,-0.863258,-0.6682674,0.6379192
1120,0.15891895,-0.46255994,-0.94572574,-0.8757782,-0.9885658,-0.6675979,0.2042497,-0.6291078,-0.21131009,0.0060212836
1130,0.63285094,-0.715371,-0.83720684,-0.68208766,-0.74713856,-0.12971133,0.26099196,-0.6987969,-0.49528173,-0.09693625
1150,0.023059132,-0.9212545,-0.87619996,-0.8140557,-0.89432603,-0.9820584,0.5760912,-0.1036474,-0.076386616,0.2507926
1160,0.4166213,-0.78388935,-0.8373253,-0.9421254,-0.45596611,-0.5441403,0.5204544,0.1512756,-0.13217556,0.57621443
1170,-0.011947755,-0.4594406,-0.6203126,-0.34056324,-0.06865141,-0.39049253,0.047738,-0.41203427,-0.12353673,0.24268207
1180,-0.084206834,-0.7088034,-1.1716228,-1.1797583,-0.9014936,-0.26828903,0.46027943,-0.41965437,0.36590058,0.41805407
1190,0.086725764,-0.5488131,-0.6809427,-0.73345196,-0.9887007,-0.9739198,0.49195468,-0.36251727,-0.19842479,0.017814377
1200,0.1745725,-0.58502513,-1.2193366,-1.1960335,-1.0436496,-0.07640805,0.24250437,-0.5598905,-0.55314666,-0.08352176
1210,-0.32356042,-0.37098724,-1.5630157,-1.1086205,-0.54112315,-0.18513118,0.20536138,-0.46497807,-0.6277249,0.19605507
1220,0.032237448,-0.5143859,-1.5598259,-0.69524163,-0.74040705,-0.4826332,0.33939585,-0.49755418,-0.41366526,-0.06387186
1230,0.09646816,-0.6159203,-1.0828809,-0.8338911,-1.3308027,-0.94360226,0.5332232,-0.023713129,-0.122564636,-0.049088333
1240,0.09809645,-0.7122496,-1.3057095,-0.98364615,-1.0008923,-0.020945372,0.37516904,-0.58750796,-0.5848301,0.088976525
1250,0.007456464,-0.7004933,-1.3413653,-1.0002451,-0.99089634,-0.65090317,0.4277096,-0.14114615,-0.6879894,0.26793787
1260,0.16015373,-0.86365783,-1.0306555,-1.1436559,-0.980416,-1.0498571,0.20833188,0.017127806,-0.25781527,-0.15457524
1270,0.05060556,-0.482531,-1.522327,-0.87498206,-0.72199786,-0.1701348,0.4064622,-0.49329638,-0.36432812,0.4973549
1280,-0.04676483,-0.74317056,-0.9680422,-0.994594,-0.99659526,-0.9851393,0.50619686,-0.17949246,-0.2501151,0.20198786
1290,-0.18112373,-0.6324412,-1.1296214,-0.7728281,-0.47019887,-0.49925378,0.39546946,-0.6233232,-0.34666145,0.43974626
1300,-0.12244795,-0.6755619,-0.97022253,-0.9397049,-1.022879,-1.0069356,0.647793,-0.18198793,-0.27202213,0.088725574
1310,-0.20753361,-0.4126216,-0.5388577,-1.5046581,-1.19218,-0.4318339,0.04514534,-0.60627013,0.11168017,-0.06196491
1320,-0.10512549,-0.81412107,-0.6456307,-0.62501585,-0.60467714,-0.29887384,0.10782861,-0.833519,-0.51741874,0.020975579
1330,0.3068546,-0.30507734,-0.76500595,-0.8091274,-0.23279968,-0.30267283,0.42543823,-1.0100611,-0.17032355,0.4635347
1340,0.50248164,-1.0096396,-0.9872041,-1.2914059,-0.8719003,-0.48844412,0.2761735,0.0418415,-0.1998682,0.017023455
1350,0.54191744,-0.47409254,-0.84614366,-1.0024176,-0.7686827,-0.3698588,0.4468885,-0.7290834,-0.6578001,-0.058848515
1360,0.23207982,-1.2396117,-1.5185786,-0.53585756,-0.5363371,-0.45336235,0.29540986,-0.98755616,0.5421613,-0.78188175
1370,-0.01574149,-0.6274925,-1.230685,-0.57568437,-0.6722205,-0.046600677,0.046585415,-0.71334684,-0.46606216,0.5603065
1380,0.16396254,-0.43983376,-1.0763054,-0.75457495,-0.54039407,-0.36064878,0.71225023,-0.5973244,-0.23222561,0.91175973
1390,-0.048401445,-0.6627323,-1.085493,-0.6405759,-0.26567054,-0.42053443,0.10241252,-0.65030414,-0.1860542,0.50368834
1410,-0.41005662,-0.66206276,-0.6250647,-0.45234996,-0.44637108,-0.52855325,0.37848774,-0.77913684,-6.768124E-4,0.6130345
1420,-0.048132434,-0.51168483,-1.4132851,-1.1879213,-1.374566,-0.42191654,-0.35529402,-0.06366439,-0.47736138,-0.8057157
1430,0.020208115,-0.08406946,-0.3010181,-0.17333688,-0.18983606,-0.14332311,0.07300022,-0.098151736,-0.05031326,0.024550479
1440,0.036677774,-0.71527904,-0.5107175,-0.80679375,-0.4822913,-0.4609417,0.025163684,-0.5234821,-0.38626868,0.3457924
1450,-0.093859926,-0.7288958,-0.7493396,-0.8162585,-0.7612657,-1.3236758,0.8516802,-0.18064253,-0.12669738,0.18538792
1460,0.3043107,-0.558338,-0.74652916,-0.8952256,0.3069557,-0.6422452,0.16487353,-0.5296507,-0.064785786,0.610774
1470,0.2765177,-0.5324618,-0.67998564,-0.53903913,-0.22424646,-0.3800735,0.06224136,-0.7537124,-0.3263484,0.5090314
1480,-0.2090578,-0.73025066,-0.8204789,-0.4883145,-0.7403417,-0.6595634,0.5003651,-0.6609311,-0.4105283,-0.023562707
1490,0.165656,-0.7492812,-0.526053,-0.25959057,-0.058537524,-0.06201532,-0.1814484,-0.37443995,-0.3576167,0.73335
1500,-0.38578206,-0.47227374,-1.1850451,-0.8431342,-0.96631366,-0.56650025,0.26993173,-0.5465757,-0.19368942,0.09350359
1510,0.025448143,-0.5079363,-0.63328665,-0.69516915,-0.6275521,-0.43902364,0.33070025,-0.15553603,-0.12556355,0.32347634
1520,0.39330184,-0.2867511,-0.7893255,-0.47916248,-0.57023686,-0.5260691,0.013096059,-0.5180604,-0.09451816,0.20620674
1550,0.04111791,-0.60652274,-1.0164474,-0.43160495,-0.32766467,-0.34152532,-0.12079743,-0.63617224,-0.17385243,0.31258607
1570,0.64062566,-0.37885433,-0.84778893,-0.7584821,-0.7261701,-1.1489995,-0.27172786,-0.71513647,0.33267474,-0.6779611
1580,-0.28154135,-0.75911355,-1.2690685,-0.8290228,-0.70146817,-0.09885975,0.2533736,-0.62167686,-0.22544149,0.324397
1590,-0.008091318,-0.27035093,-0.626382,-0.63301396,-0.3448045,-0.39709798,-0.14150894,-0.9217268,-0.49869633,-0.06313697
1600,-0.21200821,-0.2484392,-0.5533492,-0.6010079,-1.206147,-0.8192618,4.894126E-4,-0.20650984,-0.27987346,-0.24195252
1610,-0.24569632,-0.6817905,-1.3719105,-0.7910955,-0.77254695,-0.28638166,0.2914623,-0.41649592,-0.72889024,0.41096693
1620,-0.32548147,-0.6437525,-0.89439714,-0.46168616,-0.57920283,-0.35219935,0.21532391,-0.825661,-0.6718599,0.61907274
1630,-0.21606396,-0.11645162,-0.7241761,-0.20390077,-0.29859537,0.00855639,-0.092024855,-0.27857518,-0.19692913,0.34841353
1640,0.18190457,-0.6273605,-0.8183903,-0.42725194,-0.20229244,-0.4961608,-0.16939099,-0.6162367,-0.25546214,0.7055098
1650,-0.28244793,-0.8175656,-0.41817632,-0.76956505,-0.5242933,-1.0874494,0.4359344,-0.45380515,0.11454253,0.7719442
1660,0.016601695,-0.7441953,-0.73795044,-0.89101875,-0.89523304,-0.7763879,0.3701597,-0.3030499,-0.2161688,0.309051
1670,-0.33752942,-0.6675759,-0.71139205,-0.49689072,-1.0609733,-0.8999681,0.9041329,-0.13393724,-0.28635857,0.41676918
1680,-0.39074355,-0.43192837,-1.1292825,-0.8465654,-0.75572115,-0.55671674,0.47686982,-0.61640054,-0.20005503,0.5146542
1690,-0.12473026,-0.7420939,-0.68407583,-0.582638,-0.48604593,-0.24990238,0.095058285,-0.9636468,-0.49989414,0.08434546
1720,0.030339692,-0.026753377,-0.48256567,-0.14386663,-0.3762178,0.20295203,0.1828338,-0.52021456,-0.34237963,0.1025641
1730,-0.42339996,-0.6085689,-0.87468016,-0.99768317,-0.6988064,-0.99210113,0.39947397,-0.33882472,-0.2694383,0.2633355
1750,0.45861837,-0.8509892,-0.52752674,-0.53952247,0.045337707,-0.16668454,0.20450667,-0.6035655,-0.27295843,0.7351952
1760,0.24860044,-0.62369573,-0.44072953,-0.5770193,-0.32554102,-0.31666657,-0.006516683,-0.42446417,0.48326746,0.48775497
1770,-0.32282,-0.76189435,-0.73802316,-0.56369084,-0.7325645,-0.6265265,0.008148546,-0.9082329,-0.557114,0.21788026
1780,-0.42921856,0.10858009,-1.2865269,-0.63312125,-0.94879895,-0.72062117,0.66559005,-1.2613453,0.47205576,0.54440546
1810,-0.14390235,-0.5745776,-0.9059433,-0.68916965,-0.95825833,-0.7414112,0.36517572,-0.42685986,-0.25888965,0.32202587
1820,0.011307922,-0.34322196,-0.44328636,-0.47092006,-0.4281539,-0.29375866,0.21900673,-0.11154413,-0.0893071,0.22585598
1830,-0.36280656,-1.0697739,-0.56261,-1.1154414,-0.6846285,-0.1757279,0.24755502,-0.7753479,-0.24928394,-0.23702033
1840,-0.16129616,-0.44064733,-0.8475492,-0.84194565,-0.9410388,-0.59587103,0.29123408,-0.53618443,-0.27668288,0.17453127
1850,0.37528965,-0.6174926,-0.40487987,-0.058588713,-0.7641885,-1.0673885,0.56826144,-0.69958705,-0.53443176,0.51440877
1860,-0.21717843,-0.39291388,-0.82620484,-1.0887672,-1.1699601,-1.2114896,-0.037892792,-0.16502848,0.056835193,-0.0827848
1870,-0.508983,-0.7496307,-0.7238611,-0.7829681,-0.5824913,-0.96588916,0.47513562,-0.31662387,-0.44308555,0.37639982
1880,0.013147277,-0.5975479,-0.5730828,-0.4717494,-0.6130674,-1.0270303,0.73509496,-0.9000884,-0.6092828,0.10127047
1890,0.104230374,-0.5020348,-0.7410804,-0.082031526,-0.085839406,-0.41928458,0.5460825,-0.51786554,-0.6690325,1.0277655
1900,-0.2853728,-0.6850964,-0.9001324,-0.9301503,-0.94929117,-1.4713601,0.1516265,-0.10091458,-0.24155112,0.494943
1910,-0.43530515,-0.42193353,-1.4215165,-0.47746706,-0.8452014,-0.8551051,0.51296437,-0.31036875,-0.08328444,-0.07366751
1920,0.08216632,-0.76688117,-0.7784301,-0.53567654,-0.35599285,-0.18968049,-0.08218003,-0.9156372,-0.15009332,0.33215
1930,0.7210208,-0.5158649,-1.2756726,-0.74159825,-0.22713278,-0.40634197,-0.10919519,-0.2007865,0.2908741,1.1036003
1940,-0.100564584,-0.7377483,-0.98225677,-1.0266935,-0.7559406,-0.7363443,0.5763511,-0.33313543,-0.24404624,0.3735826
1950,0.03830491,-0.74016386,-1.0452425,-0.85051656,-1.0561697,-0.7029253,0.64415187,-0.17879722,-0.51048017,0.46112996
1960,-0.16194485,-0.6775426,-0.99772286,-0.9852037,-0.8730098,-0.98665935,0.47985673,-0.27651748,-0.39825585,0.07821413
1970,0.6347176,-0.09978895,-0.6863047,-0.9592986,-0.36107573,-0.33150828,-0.2385467,-0.86324435,-0.16170062,0.017122205
1980,0.6871361,0.13955267,-0.609673,-0.4477522,-0.02730553,-0.43229362,-0.3800219,-1.0844996,-0.4248356,0.09741964
1990,0.23483038,-0.88797337,-0.12735514,0.075483344,-0.55413854,-0.18786857,-0.13421941,-0.9500273,-0.06832525,0.14332308
2000,-0.030547518,-0.57812834,-1.3710761,-0.72983605,-0.75803536,-0.034706242,0.2705063,-0.6499951,-0.6244443,0.46504357
2010,0.09685112,-1.0447751,-1.0078951,-1.0056188,-0.85509723,-0.9798127,0.34575665,-0.052460782,-0.16241057,-0.19170366
2020,-0.09167788,-0.6155903,-0.91017455,-0.98582166,-1.0132531,-0.7308036,0.60898286,-0.4138779,-0.37267366,0.12058038
2040,0.22177929,-0.58009934,-0.9878379,-0.70530915,-0.09484704,-0.51337105,0.23857613,-0.5621005,-0.07441499,0.671866
2050,0.4488868,-0.38602015,-1.1052105,-0.3705991,0.31319687,-0.43686765,0.15586248,-0.6201071,-0.31974703,0.654014
2060,-0.121732876,-0.15625526,-1.0839168,-0.43010157,-0.49172658,-0.4976297,-0.14943737,-1.1669782,-0.0071333544,-0.048798196
2070,-0.008466415,-0.83610326,-0.9058198,-0.73476154,-0.9235474,-0.9029503,0.6132769,-0.03285535,-0.5070146,0.39346054
2080,0.179708,-0.6024372,-1.2169517,-1.1085665,-0.46672556,-0.39628187,0.57029897,-0.24561763,-0.27439475,0.6323015
2090,0.17582785,-0.5100796,-1.1629881,-1.1763589,-0.27217534,-0.38698724,0.38204473,-0.2115456,-0.2063729,0.545444
2100,0.19078077,-0.581235,-1.1077776,-0.73035306,-0.6827515,-0.31631184,0.4753015,-0.43319687,-0.22115684,0.47768494
2110,-0.12129503,-0.6314842,-1.1540794,-0.5742682,-0.65569466,-0.6061368,0.22512065,-0.4602236,-0.16983023,-0.13368346
2120,0.021867571,-0.58698475,-0.9001196,-0.5818999,-0.32828397,-0.30207103,-0.13242894,-0.90496385,-0.50737363,0.19920048
2130,0.20866264,-0.8140717,-0.94550925,-0.64826596,-1.0963691,-0.821647,0.49726608,-0.39445645,-0.08740571,0.063008435
2140,-0.2797106,-0.42791176,-1.1873093,-1.1283638,-0.25288326,-0.7035034,0.34704602,-0.65413254,-0.06410544,0.009462893
2150,-0.28628668,-0.8117798,-1.1226734,-0.7858918,-0.6187608,-0.70091665,0.5081936,-0.48698056,-0.21265133,0.18341327
2160,0.55325365,-0.76509976,-0.6650104,-1.048225,-1.1339284,-0.6692331,0.2805417,-0.4782893,-0.47384706,-0.17843267
